ICML2014, , ,Priority,Conference
Active semi-supervised learning using sampling theory for graph signals., ,[CLASSIFICATION],3,KDD2014
Active collaborative permutation learning.,[ADTECH], ,3,KDD2014
Correlation clustering in MapReduce., ,[CLUSTERING],1,KDD2014
Efficient multi-task feature learning with calibration.,[ADTECH], ,1,KDD2014
Multi-task copula by sparse graph regression.,[ADTECH],[SPARSE][REGRESSION],1,KDD2014
Scalable heterogeneous translated hashing.,[ADTECH], ,3,KDD2014
Optimal recommendations under attraction  aversion  and social influence.,[ADTECH], ,2,KDD2014
GeoMF: joint geographical modeling and matrix factorization for point-of-interest recommendation.,[ADTECH], ,3,KDD2014
Product selection problem: improve market share by learning consumer behavior., , ,[UX],KDD2014
TCS: efficient topic discovery over crowd-oriented service data.,[ADTECH], ,2,KDD2014
Clustering and projected clustering with adaptive neighbors., ,[CLUSTERING],1,KDD2014
Optimal real-time bidding for display advertising.,[ADTECH], ,1,KDD2014
Mining topics in documents: standing on the shoulders of big data.,[ADTECH], ,2,KDD2014
Focused clustering and outlier detection in large attributed graphs., ,[CLUSTERING],1,KDD2014
Big data for social good.,[ADTECH], ,2,KDD2014
Activity ranking in LinkedIn feed.,[ADTECH], ,2,KDD2014
An empirical study of reserve price optimisation in real-time bidding.,[ADTECH], ,1,KDD2014
Large-scale high-precision topic modeling on twitter.,[ADTECH], ,2,KDD2014
We know what you want to buy: a demographic-based system for product recommendation on microblogs.,[ADTECH], ,1,KDD2014
KDD2013, , , ,
Representing documents through their readers.,[ADTECH], ,2,KDD2013
Text-based measures of document diversity.,[ADTECH], ,2,KDD2013
Connecting users across social media sites: a behavioral-modeling approach.,[ADTECH], ,2,KDD2013
Density-based logistic regression., ,[REGRESSION],1,KDD2013
Learning to question: leveraging user preferences for shopping advice.,[ADTECH], ,2,KDD2013
LCARS: a location-content-aware recommender system.,[ADTECH], ,2,KDD2013
Robust sparse estimation of multiresponse regression and inverse covariance matrix via the L2 distance., ,[SPARSE][REGRESSION],1,KDD2013
Social influence based clustering of heterogeneous information networks., ,[CLUSTERING],3,KDD2013
DTW-D: time series semi-supervised learning from a single example., ,[CLASSIFICATION],2,KDD2013
To buy or not to buy: that is the question.,[ADTECH], ,1,KDD2013
Hadoop: a view from the trenches.,[ADTECH], ,2,KDD2013
Query clustering based on bid landscape for sponsored search auction optimization., ,[CLUSTERING],1,KDD2013
KDD2012, , , ,
Efficient personalized pagerank with accuracy assurance.,[RANKING], ,3,KDD2012
PageRank on an evolving graph.,[RANKING], ,3,KDD2012
Multi-view clustering using mixture models in subspace projections., ,[CLUSTERING],2,KDD2012
From user comments to on-line conversations.,[ADTECH], ,2,KDD2012
eTrust: understanding trust evolution in an online world.,[ADTECH], ,1,KDD2012
Searching and mining trillions of time series subsequences under dynamic time warping., ,[TIMESERIES],3,KDD2012
A sparsity-inducing formulation for evolutionary co-clustering., ,[CLUSTERING],1,KDD2012
Finding trending local topics in search queries for personalization of a recommendation system.,[ADTECH], ,2,KDD2012
Learning binary codes for collaborative filtering.,[ADTECH], ,3,KDD2012
Inductive multi-task learning with multiple view data.,[ADTECH], ,1,KDD2012
Semi-supervised learning with mixed knowledge information., ,[CLUSTERING],1,KDD2012
Multimedia features for click prediction of new ads in display advertising.,[CTR], ,1,KDD2012
Unsupervised feature selection for linked social media data., ,[CLUSTERING],1,KDD2012
Understanding users' satisfaction for search engine evaluation.,[RANKING], ,3,KDD2012
